"rcp","year","iso3","country","ncells","area_sqkm","prod_mt","profits_usd"
"RCP 8.5",2051,"KIR","Gilbert Islands",9803,980300,9307323934.04816,58133054777351.2
"RCP 8.5",2100,"SLB","Solomon Islands",1150,115000,727728099.787036,6252563817768.32
"RCP 8.5",2100,"FSM","Micronesia",8157,815700,5161807052.14161,44082382523732.8
"RCP 8.5",2100,"NRU","Nauru",3111,311100,2146608347.36966,17037598418428.6
"RCP 8.5",2100,"MHL","Marshall Islands",10925,1092500,7144556296.82022,59568882650160.2
"RCP 8.5",2100,"PNG","Papua New Guinea",4225,422500,2673609757.91324,22941112248101.3
"RCP 8.5",2100,"TUV","Tuvalu",1951,195100,1234606541.46479,10423868644887
"RCP 8.5",2100,"KIR","Line Group",16493,1649300,13297315164.2808,93876598684695
"RCP 8.5",2100,"KIR","Phoenix Group",7512,751200,5733930651.70952,42388369806887.8
"RCP 8.5",2100,"KIR","Gilbert Islands",10619,1061900,7483804360.89229,59140141678045
